Data,Valoare_EUR
2020-02-24,4.8024
2020-02-25,4.8079
2020-02-26,4.8074
2020-02-27,4.8068
2020-02-28,4.8127
2020-03-02,4.8103
2020-03-03,4.8074
2020-03-04,4.8057
2020-03-05,4.8086
2020-03-06,4.811
2020-03-09,4.8184
2020-03-10,4.817
2020-03-11,4.8167
2020-03-12,4.8157
2020-03-13,4.8174
2020-03-16,4.8242
2020-03-17,4.8448
2020-03-18,4.8438
2020-03-19,4.844
2020-03-20,4.8444
2020-03-23,4.8443
2020-03-24,4.8445
2020-03-25,4.8367
2020-03-26,4.8345
2020-03-27,4.8332
2020-03-30,4.8297
2020-03-31,4.8254
2020-04-01,4.8246
2020-04-02,4.8288
2020-04-03,4.8286
2020-04-06,4.828
2020-04-07,4.8314
2020-04-08,4.8338
2020-04-09,4.8278
2020-04-10,4.8277
2020-04-13,4.8297
2020-04-14,4.8327
2020-04-15,4.8345
2020-04-16,4.836
2020-04-21,4.8345
2020-04-22,4.8382
2020-04-23,4.8414
2020-04-24,4.8412
2020-04-27,4.836
2020-04-28,4.8436
2020-04-29,4.8425
2020-04-30,4.8421
2020-05-04,4.8387
2020-05-05,4.829
2020-05-06,4.8258
2020-05-07,4.8242
2020-05-08,4.8278
2020-05-11,4.8295
2020-05-12,4.8297
2020-05-13,4.8349
2020-05-14,4.8376
2020-05-15,4.839
2020-05-18,4.8392
2020-05-19,4.8395
2020-05-20,4.8421
2020-05-21,4.8425
2020-05-22,4.8422
2020-05-25,4.8396
2020-05-26,4.8415
2020-05-27,4.8432
2020-05-28,4.8421
2020-05-29,4.8426
2020-06-02,4.8419
2020-06-03,4.8398
2020-06-04,4.8387
2020-06-05,4.8393
2020-06-09,4.8377
2020-06-10,4.8338
2020-06-11,4.8358
2020-06-12,4.834
2020-06-15,4.8337
2020-06-16,4.836
2020-06-17,4.835
2020-06-18,4.8394
2020-06-19,4.8421
2020-06-22,4.8415
2020-06-23,4.8428
2020-06-24,4.8432
2020-06-25,4.8422
2020-06-26,4.8421
2020-06-29,4.8439
2020-06-30,4.8423
2020-07-01,4.8372
2020-07-02,4.8319
2020-07-03,4.8378
2020-07-06,4.8365
2020-07-07,4.8397
2020-07-08,4.8406
2020-07-09,4.8408
2020-07-10,4.8418
2020-07-13,4.8423
2020-07-14,4.843
2020-07-15,4.8433
2020-07-16,4.8429
2020-07-17,4.8428
2020-07-20,4.8427
2020-07-21,4.8417
2020-07-22,4.8401
2020-07-23,4.8353
2020-07-24,4.834
2020-07-27,4.8276
2020-07-28,4.8335
2020-07-29,4.8342
2020-07-30,4.8321
2020-07-31,4.8316
2020-08-03,4.8351
2020-08-04,4.8341
2020-08-05,4.8336
2020-08-06,4.8359
2020-08-07,4.8375
2020-08-10,4.8359
2020-08-11,4.8347
2020-08-12,4.8357
2020-08-13,4.8344
2020-08-14,4.8358
2020-08-17,4.8344
2020-08-18,4.8349
2020-08-19,4.839
2020-08-20,4.8396
2020-08-21,4.84
2020-08-24,4.8402
2020-08-25,4.8392
2020-08-26,4.8404
2020-08-27,4.8424
2020-08-28,4.8387
2020-08-31,4.8404
